句子,关键词位置,原始关键词,对立关键词
我感觉儿子正逐渐成为一个小乐迷，而我们之间的音乐共鸣也越来越多！,"[12, 14]",儿子,女儿
我给儿子治病的钱被一个假医生骗走了！,"[3, 5]",儿子,女儿
"我给忘了,路上给儿子说:要是你妈生气,你帮我担着点。","[8, 10]",儿子,女儿
我跟儿子说，以后只要你想看电影，我都帮你请假。,"[2, 4]",儿子,女儿
我和儿子都是普通老百姓，我们对美好生活的需要，党和政府正不断帮我们实现。,"[38, 40]",儿子,女儿
我和儿子一起设计城市，一起建造，现在已经初具规模。,"[2, 4]",儿子,女儿
我和老伴两个一起种些稻米和蔬菜，供自己吃，避免买米，儿子也外出打工了，一般一个月回来一趟。,"[27, 29]",儿子,女儿
我还患有多种慢性病，长期吃药，如今儿子上了大学，家庭压力更大，过年都发愁。,"[17, 19]",儿子,女儿
我还没开口，儿子一把抢过话题，用调羹指着那盘罗氏虾，涨红了脸，急不可耐地喊。,"[7, 9]",儿子,女儿
我急了，认真地跟太太和儿子商量：“每个周末，我们三人都把手机锁在箱子里，好不好”？,"[11, 13]",儿子,女儿
我家里之前是有点钱，但你们也都清楚，儿子准备明年结婚，买房、装修，把家里都掏空了。,"[32, 34]",儿子,女儿
我今年65岁了，患有甲亢现在又中风，不知哪天就照顾不了儿子了。,"[28, 30]",儿子,女儿
我就那样守着一桌子菜等着儿子。,"[12, 14]",儿子,女儿
我看到儿子打了电话，又不敢说出真相，只有继续圆谎，对警察说自己被抢了。,"[4, 6]",儿子,女儿
我们不是圣人，但为了孩子，我们可以放下恩怨，而且我们的态度也会影响到儿子。,"[34, 36]",儿子,女儿
我们的儿子，虽然开始时叫人有些担心，但我们却得到了很多好心人的帮助照顾。,"[3, 5]",儿子,女儿
我们老两口岁数大了，趁着还能干得动，我就是拼了命也得给儿子留下些积蓄。,"[28, 30]",儿子,女儿
我们全家人深深地感受到了党和政府的关心关怀，虽然我的儿子犯了错误，但是党和政府并没有抛弃我们，给我们安排了安居房、低保等。,"[26, 28]",儿子,女儿
我们相信，青年能避开前述报道中的儿子的覆辙。,"[16, 18]",儿子,女儿
我们原以为这笔借款会变成坏账，没想到老人能够帮儿子还贷。,"[24, 26]",儿子,女儿
我明白你潜意识里是希望儿子将来比你强。,"[11, 13]",儿子,女儿
我拿出我儿子的笔记看了下，默默地从门背后拿出了竹棒。,"[9, 11]",儿子,女儿
我是大地的儿子，我拥有爱，同时我也拥有痛苦。,"[9, 11]",儿子,女儿
我是牧民的儿子，我生长在乌拉特草原，我热爱这里的一草一木，能够为生活在这里的牧民群众服务，我感到由衷的高兴。,"[14, 16]",儿子,女儿
我是农民的儿子，我办学的初心，就是让农村的孩子通过接受教育摆脱贫穷的生活。,"[11, 13]",儿子,女儿
我是农民的儿子，有很深的平民情结。,"[11, 13]",儿子,女儿
我是一个财主的儿子。,"[8, 10]",儿子,女儿
我听到儿子这样说，心里顿时感觉轻松了不少。,"[4, 6]",儿子,女儿
我为儿子的思想发生这么大的变化而高兴。,"[10, 12]",儿子,女儿
我现在最大的心愿是，让儿子也住进养老院，可是现在我的退休金加上两个孩子的低保，只够一个人住养老院。,"[11, 13]",儿子,女儿
我想告诉儿子，这四只小天鹅，都是像奥杰塔公主一样，因被恶魔诅咒过而变成了天鹅的小公主们。,"[4, 6]",儿子,女儿
我想向身边的儿子，解释这段舞蹈所代表的含义。,"[6, 8]",儿子,女儿
我心里特别感激党和政府的关心关爱，如果没有党和政府的关怀，不知道我的儿子会变成什么样子，我的家庭会变成什么样子。,"[34, 36]",儿子,女儿
我一直认为儿子智商可以，情商不高。,"[8, 10]",儿子,女儿
我在芙蓉路打了辆的士，的哥年约五十，姓张，有一个儿子，今年19岁，在某机构学厨师。,"[24, 26]",儿子,女儿
我这个当儿子的，惭愧！,"[4, 6]",儿子,女儿
我知道要改变一个人的思想有多么难，也知道党和政府为挽救像我儿子一样受毒害的人所付出的努力。,"[29, 31]",儿子,女儿
我衷心感谢党和政府为我儿子所做的一切！,"[11, 13]",儿子,女儿
我祝愿并盼望儿子能像我们的父辈一样热爱读书，尊重读书。,"[6, 8]",儿子,女儿
无偿献血赋予了孩子不一样的生日含义，未来自己和儿子会继续无偿献血，做公益献爱心。,"[29, 31]",儿子,女儿
无奈，大儿子只好妥协，就说那咱俩一起骑。,"[4, 6]",儿子,女儿
下午1时，儿子想要小便，于是从小路离开，没多久，林中突然传来一声惨叫。,"[5, 7]",儿子,女儿
下一步，“鹰爸”打算让儿子拿下本科和文凭。,"[11, 13]",儿子,女儿
现在儿子能挣钱了，家里也还清了债务，生活好了，有了盼头，感谢党的好政策，感谢为老百姓实实在在操心的石书记和驻村队员们。,"[11, 13]",儿子,女儿
现在暂住在儿子家，虽然房子小，一家五口挤在一起，但因为有了盼头，心里可舒坦了！,"[5, 7]",儿子,女儿
想让儿子一家搬走，法律是否支持？,"[2, 4]",儿子,女儿
小儿子的催促把我从剃头刀带回眼前的电推剪。,"[2, 4]",儿子,女儿
小儿子身患肺病后，高额的医药费使这个贫困家庭雪上加霜。,"[1, 3]",儿子,女儿
小儿子时而闭目若思，时而兴奋愉悦，我知道手中的电推剪又一次完成艺术之旅。,"[1, 3]",儿子,女儿
小儿子治病期间，受到了各方面的关心和帮助。,"[1, 3]",儿子,女儿
小孩身体又长得快，儿子去年的衣服大多不能再穿。,"[9, 11]",儿子,女儿
小两口赞不绝口，儿子对着在厨房里忙活的我嚷道：“老爸，这道菜给您一个赞”。,"[9, 11]",儿子,女儿
新的一年，祝我的家人身体健康，儿子学习进步。,"[15, 17]",儿子,女儿
"新房子刚刚装修完,我们还没去儿子就走了。","[15, 17]",儿子,女儿
言传不如身教，老蔡决定寻找机会，以实际行动，打开儿子那擀面杖一般的实心眼。,"[24, 26]",儿子,女儿
要是你跟你儿子还不上买卖，可别怪我不客气！,"[5, 7]",儿子,女儿
一旦进了田径队，每天都要训练，儿子的学习就更跟不上了。,"[16, 18]",儿子,女儿
一对夫妻携儿子遗像讨说法，引起多家媒体关注。,"[27, 29]",儿子,女儿
一个是富家公子，一个是渔夫的儿子。,"[14, 16]",儿子,女儿
一家五口人，两位年事已高的老人，一名长年卧床不起的儿子，再就是两名读小学的孩子。,"[25, 27]",儿子,女儿
一句简单的话语，流露出作为儿子的愧疚与无奈。,"[14, 16]",儿子,女儿
一位老大娘亲口告诉我：“儿子参加职业技能培训结业后，完全变了样，以前连我们做的饭都不吃，家也不回，跟坏人到处跑，还说要出国参加‘圣战’，更别说孝顺了”。,"[12, 14]",儿子,女儿
一有空隙，我都会打开视频，在镜头下寻找着儿子。,"[20, 22]",儿子,女儿
因为没有北京户口，吴某最发愁的是上五年级的儿子不能留在北京上学。,"[21, 23]",儿子,女儿
由于儿子在外地上班，家里平常只有任师傅爱人、儿媳以及一岁多的孙子。,"[2, 4]",儿子,女儿
由于年龄已高，两位老人平时的饭菜都是由儿子、儿媳妇每天做好送来。,"[19, 21]",儿子,女儿
由于我自身的想法就是错误的，导致儿子在错误的道路上越滑越远。,"[16, 18]",儿子,女儿
有了这份具备法律效力的指定证明，柳老爷子的儿子就可以代理老人完成房产交易了。,"[21, 23]",儿子,女儿
有时候，晚上睡不着，就把照片翻出来看看，儿子总有一天会好的。,"[21, 23]",儿子,女儿
有一次，儿子训练后提议去吃巴西烤肉。,"[4, 6]",儿子,女儿
有一张照片上，儿子正在跟几个小朋友说话，小嘴巴半张着，样子特别可爱，让人忍俊不禁。,"[7, 9]",儿子,女儿
幼儿园的张老师经常发来一些我儿子的照片，都是抓拍的。,"[17, 19]",儿子,女儿
于是，蔡科长马上赤膊上阵，以儿子的笔迹为样板，依样画起了葫芦。,"[14, 16]",儿子,女儿
于是，儿子从未剩过饭，始终是光盘。,"[4, 6]",儿子,女儿
与此同时，我儿子也报了警，并调取了事故发生时的公交车监控录像。,"[6, 8]",儿子,女儿
远在美国的儿子能申请上心仪学校！,"[5, 7]",儿子,女儿
再抬头一看，一边的儿子早已小脸吓了个惨白，正往桌子底下钻呢。,"[9, 11]",儿子,女儿
在昆明就可以滑雪，是件令人兴奋的事情，儿子昨天晚上早早做完作业上床睡觉，养足精神就是为了今天能够痛快玩雪。,"[20, 22]",儿子,女儿
在那座山上有个石门，相传谁家只要有九个儿子就可以合力打开，进去取宝藏。,"[19, 21]",儿子,女儿
在娘的心中，儿子永远都是小孩。,"[6, 8]",儿子,女儿
在外贸公司工作的心急的老爸看到报道，马上就给儿子报了名。,"[22, 24]",儿子,女儿
在这些坏人的教唆下，我的儿子越陷越深，不可自拔。,"[12, 14]",儿子,女儿
早些年报纸夹在儿子的课本里，找了多次没找着，那天卖旧书报翻了出来，如获至宝，压在这里！,"[7, 9]",儿子,女儿
章母因为弄丢了小儿子深感自责，病情不断严重，神志不清，卧床不起。,"[8, 10]",儿子,女儿
照顾瘫痪在床的儿子已经40年，老伴儿前年去世后，我就难得出门。,"[7, 9]",儿子,女儿
这次，儿子觉得不新鲜，记住就回家了。,"[4, 6]",儿子,女儿
这次有许多单位提供了岗位，和儿子商量之后，决定报名去杭州急救中心实习，主要是想学一些救人的本事，可以帮助到别人。,"[14, 16]",儿子,女儿
这当然是意外打击，可我想，我还没看清儿子是什么模样就叫我“扔”掉，这说什么也不行。,"[18, 20]",儿子,女儿
这个笔袋，儿子看到后爱不释手，用了好几年呢”。,"[6, 8]",儿子,女儿
这就是我的娘，心中全是对儿子们的疼爱。,"[12, 14]",儿子,女儿
这句话，我感受最深，我就跟大家讲讲我儿子黄冗的经历。,"[18, 20]",儿子,女儿
这么大的声响竟然没吵到儿子。,"[11, 13]",儿子,女儿
这篇文章提醒我们思考，文中儿子的遭遇是否也向全社会发出了“温馨提醒”：对于底层青年，我们的关注真的到位了吗？,"[13, 15]",儿子,女儿
这是救我儿子的唯一希望。,"[5, 7]",儿子,女儿
这是因为这两桩事如隔得太久，儿子求官心切，等不及，会有点急吼吼。,"[14, 16]",儿子,女儿
这套书影响了我的家庭，爱人写书，儿子儿媳出书。,"[16, 18]",儿子,女儿
这位家长说，儿子上五年级，学校突然通知第二天要进行测试，还统一下发了一张复习资料，让大家准备。,"[6, 8]",儿子,女儿
这样一来，儿子就被宠坏了，碰到困难都解决不了，打鱼技术自然就无法提高。,"[5, 7]",儿子,女儿
这样在视角比较远、监控不清晰的情况下要找到自己的儿子，变得很困难。,"[24, 26]",儿子,女儿
这也许是贵人出世多磨难，马夫人阵痛一天一夜，被折磨得死去活来，生下一个儿子。,"[35, 37]",儿子,女儿
这意味着，被命运接二连三地捉弄后，儿子有了活下去的可能，阿才终于迎来了一丝希望。,"[17, 19]",儿子,女儿
知识是无穷无尽的，如果我们学习只满足于一知半解，那和这个笨儿子又有什么两样呢？,"[29, 31]",儿子,女儿
之前在厕所装了铁制扶手，也缠了胶带防滑，可儿子抓着还是很难从马桶上起来，脑袋都快要抵到墙上了。,"[22, 24]",儿子,女儿
之所以选择参加自考，更多是因为这些课程设置更专业，与儿子成为企业家的目标一致。,"[26, 28]",儿子,女儿
执行法官无奈下联系了石某在外务工的大儿子。,"[18, 20]",儿子,女儿
中考之后的那个暑假，带儿子去俄罗斯旅游，在圣彼得堡的马林斯基剧院，我们观看了经典的芭蕾舞剧《天鹅湖》。,"[11, 13]",儿子,女儿
周末，开车去郊外玩，出城时，特堵，车辆排成长长的队伍，儿子趴在车窗边嚷嚷：“火车、火车”。,"[27, 29]",儿子,女儿
周末，老子带儿子去体育馆学游泳。,"[6, 8]",儿子,女儿
紫云国际小区有老两口，儿子十年前因公去世，生活方面有许多不便。,"[11, 13]",儿子,女儿
自从第一次用烟盒做成的花瓶被儿子的朋友拿走后，爱琢磨的孙大爷再也闲不住了。,"[14, 16]",儿子,女儿
自从两个儿子失踪后，这叔侄俩就再也没来吃过饭。,"[4, 6]",儿子,女儿
最为重要的是，张师傅有个25岁的儿子，本科毕业后在中关村上班，薪资不高，想在北京这座城市有一套自己的房子。,"[16, 18]",儿子,女儿
"最正确的选择是知道了我儿子在哪,每年能见见,不打扰现在的生活。","[14, 16]",儿子,女儿
最重要的是，这些照片是在儿子不知道的情况下抓拍的，所以显得特别自然有趣。,"[12, 14]",儿子,女儿
作为儿子，曾经对您的选择感到不理解，我感到非常抱歉，如今，我已经理解了您的伟大，也深切明白，您这一生能够投身自己热爱的事业，是精神富足的一生、热情开朗的一生、潇洒快乐的一生。,"[6, 8]",儿子,女儿
本来是带女儿来看戏的，没想到最后我自己这么感动。,"[5, 7]",女儿,儿子
12月28日，失主的女儿不小心将装有重要证件的蓝色手提袋丢在了电梯里。,"[10, 12]",女儿,儿子
14日下午女儿被狗咬后，便和同学一瘸一拐地去医院打了防疫针，当晚11时才回到家中，夜晚睡觉还做噩梦大声呼救。,"[5, 7]",女儿,儿子
16日就该上学了，可是15日晚上女儿仍然没有回来。,"[16, 18]",女儿,儿子
1988年，女儿出生了，为一家人带来了无限欢乐。,"[6, 8]",女儿,儿子
2015年，两人经人介绍相识，在经过自由恋爱后，步入了婚姻殿堂，并于次年有了一个可爱的女儿。,"[43, 45]",女儿,儿子
"2015年夏天,女儿高烧不退,打了五天的点滴还是不见好转。","[8, 10]",女儿,儿子
2020年女儿初三，每晚学习到深夜；应对中考，付出一定有回报！,"[5, 7]",女儿,儿子
20年前，一个女儿意外去世时，老伴因打击太大，倒地造成脑出血。,"[7, 9]",女儿,儿子
30岁女儿被亲妈打得惨不忍睹！,"[3, 5]",女儿,儿子
3岁女儿每天准时趴上窗台一个小时不挪窝！,"[2, 4]",女儿,儿子
4岁的大女儿下午放学回家后就开始咳嗽、流鼻涕。,"[5, 7]",女儿,儿子
59天全程自驾，一共换了5台车，都是我自己开，女儿开我不放心。,"[24, 26]",女儿,儿子
86岁老人去医院，年近六旬的女儿一手搀扶老人，一手拎着轮椅。,"[14, 16]",女儿,儿子
“女儿开车顶着亲爹，在街头狂奔近一公里”，这两天，一段视频让很多人直呼惊魂。,"[1, 3]",女儿,儿子
爱妻在参加中央党校本科的继续教育时选择法律专业，女儿在上海外国语大学取得法律加英语的双学士学位，全家人皆与法律有缘。,"[24, 26]",女儿,儿子
八旬老人罗某身居养老院，身患重病，法院判决其女儿支付赡养费。,"[22, 24]",女儿,儿子
把捡破烂儿挣的钱一点点攒下来，留给女儿将来上大学用。,"[24, 26]",女儿,儿子
把女儿也叫上，与我一起在哲学类的书架上找，还是没有。,"[1, 3]",女儿,儿子
本身就是一个贫困户，出嫁女儿还不要彩礼，脑子有问题。,"[13, 15]",女儿,儿子
别那样，别再以牺牲自己的方式，为别人铺路搭桥，哪怕是自己的女儿。,"[29, 31]",女儿,儿子
不过，吃货有吃货的智慧，女儿最后选择吃绿豆芽代替青菜。,"[12, 14]",女儿,儿子
不是的，从天赋上来看，女儿真的算不上神童。,"[12, 14]",女儿,儿子
不一会儿，我的女儿被抱了出来。,"[7, 9]",女儿,儿子
"车子行至航海路，女儿打电话称，在家干活的时候把指头弄断了，当时一听就蒙了，急忙让司机停车往家赶,把10万多元现金忘了。","[8, 10]",女儿,儿子
陈某说，凌某是自己的干女儿，至今未婚，而且聪明伶俐。,"[11, 13]",女儿,儿子
吃完了晚饭，女儿告诉我，上午老师在讲心理课时说，及时清理负面情绪和刷牙洗脸一样重要。,"[6, 8]",女儿,儿子
宠物不让带进商场，而商场里竟然开起动物园，我女儿宠物毛发过敏，吓得我都不敢带孩子逛商场了。,"[27, 29]",女儿,儿子
出门前女儿总喊饿，我走得急了些，又犯了“电不足”的毛病――忘带钱包了。,"[3, 5]",女儿,儿子
除此之外，我的女儿也在韦主任的影响下，成为了社区的志愿者，积极参与社区活动，为建成文明、和谐的社区共同努力。,"[7, 9]",女儿,儿子
此次考试成绩揭晓，杨彩玲“法考”成绩超过合格分19分，女儿也远超分数线。,"[27, 29]",女儿,儿子
次日老人女儿报警，儿媳被民警传唤至公安机关。,"[4, 6]",女儿,儿子
从此，我的女儿帮我用电脑管理书目。,"[5, 7]",女儿,儿子
从此，扎西与女儿虽时常相见，但却不能相认。,"[6, 8]",女儿,儿子
从那之后，女儿每年都给二老安排几次旅行，让父母享受旅行的快乐。,"[5, 7]",女儿,儿子
从照片里的植物推断，女儿应该在南方。,"[10, 12]",女儿,儿子
从照片上看，女儿身穿蓝色短袖，笑着坐在亭子里。,"[6, 8]",女儿,儿子
村民向记者介绍说，一方希望通过女儿出嫁索要高额彩礼来改变贫困的生活，而另一方也因娶媳妇欠下了更多的债务，令经济条件雪上加霜。,"[15, 17]",女儿,儿子
大夫，我女儿刚生完宝宝才7天，这两天大腿肿得厉害。,"[5, 7]",女儿,儿子
大女儿今年初中毕业，选择外出打工减轻家庭负担。,"[1, 3]",女儿,儿子
但宝贝女儿不但在家政业坚持下来，还越干越有信心。,"[3, 5]",女儿,儿子
但歌声中没有痛苦的哭诉，也没什么对女儿的愧疚，好像穷也好，富也好，本来就是天然的，没有什么不好意思。,"[18, 20]",女儿,儿子
但同样从事戏曲工作的父母，把女儿送进了戏校。,"[14, 16]",女儿,儿子
但小车司机则认为，幼儿园没有保证其女儿安全，理应幼儿园赔偿，与己无关。,"[17, 19]",女儿,儿子
但由于工作很忙，疏于照顾孩子，企业家和女儿间产生了一系列矛盾。,"[19, 21]",女儿,儿子
但由于其女儿经常生病，导致经济负担加重。,"[4, 6]",女儿,儿子
当日23时46分，望远派出所接到一群众报警称：其女儿要跳楼，请求帮助。,"[24, 26]",女儿,儿子
当时，我家大女儿才四五个月。,"[7, 9]",女儿,儿子
当时交涉无果，女儿撂了句狠话，“你们要是敢生，我们就断绝关系”。,"[12, 14]",女儿,儿子
当时我没有觉得自己有问题，我的宝贝女儿怎么能让别人欺负呢？,"[17, 19]",女儿,儿子
当天，夫妻俩给女儿打去电话，表示在第二天施工时，把原本保留的空间让出去。,"[7, 9]",女儿,儿子
当天女儿放学后喊身上疼，一问才知道被老师打了。,"[2, 4]",女儿,儿子
到时候，我要开着小汽车去机场接女儿回家。,"[16, 18]",女儿,儿子
第二天，女儿从网上买的粘鼠板，快递直接送到家。,"[4, 6]",女儿,儿子
第一起事件是小区一户人家的女儿结婚，该户人家热闹了一天，其间不停地放鞭炮，用高音喇叭大放音乐，影响左邻右舍休息。,"[13, 15]",女儿,儿子
"电工断电后,邻居们赶紧把女儿救起送医院抢救,这才捡回来一条命。","[12, 14]",女儿,儿子
都说女儿是父母的“小棉袄”，这话一点不假。,"[2, 4]",女儿,儿子
"对两口子来说,留在长沙更方便找女儿,也方便随时和当地警方沟通。","[15, 17]",女儿,儿子
而还不满2岁的小女儿则被一位陌生大姐帮忙抱着，一把鼻涕一把泪地在大哭，让人看了心疼不已。,"[8, 10]",女儿,儿子
而且女儿穿着婚纱，也不方便走路啊！,"[2, 4]",女儿,儿子
房子的装修、家电购置都是父母一手操办，就等着女儿留学回来后入住。,"[22, 24]",女儿,儿子
放下电话，我静站了良久，想那小女儿的心境。,"[15, 17]",女儿,儿子
"非常高兴,非常意外得到这个礼物,我女儿在北京,我经常往返烟台和北京之间,希望烟台机场发展越来越好,越来越快,越来越完善。","[18, 20]",女儿,儿子
夫妻都去乡下工作，3岁的女儿无人照看，怎么办？,"[12, 14]",女儿,儿子
夫人与女儿虽说有了好的命运，自己却剩光杆一条，读来令人忍俊不禁，啼笑皆非。,"[3, 5]",女儿,儿子
父母不能接受女儿未按自己设计的道路走下去，试图将其送往外地工作。,"[15, 17]",女儿,儿子
该旅客自述其女儿佩戴三个月以来经常无故流鼻血。,"[6, 8]",女儿,儿子
赶到现场后，女儿的担心化为眼泪瞬间夺眶而出。,"[6, 8]",女儿,儿子
更让我高兴的是，亲戚家的一个女儿，年龄很大了，对象一直没有着落。,"[14, 16]",女儿,儿子
更有家长开玩笑地说：哎，你女儿是你家的“矿”。,"[13, 15]",女儿,儿子
乖女儿，你今天的表现真棒，我和你爸正通过家里的4高清观看你们的比赛直播，我刚才还参与了直播的互动呢。,"[2, 4]",女儿,儿子
乖巧开朗的女儿患上抑郁症，并选择吞药轻生，蒋力认为，除了自己对孩子的关心不够深入以外，越来越重的学业压力可能是让孩子生病的罪魁祸首。,"[5, 7]",女儿,儿子
过去，因为照料有智力障碍的女儿，我和老太婆一年到头也难得一起出门。,"[14, 16]",女儿,儿子
好不容易挪到女儿学校小学部，小朋友们超级热情，一下子都冲上来争相围观。,"[6, 8]",女儿,儿子
好些年前初春的一个晚上，我骑车带着五六岁的女儿回家，不知怎地突然摔倒在地。,"[21, 23]",女儿,儿子
好在女儿平时锻炼多，身体还算结实。,"[2, 4]",女儿,儿子
好在女儿在亲戚帮助下考上大学，如今在外省工作。,"[3, 5]",女儿,儿子
后来，女儿又看上一家游戏公司。,"[4, 6]",女儿,儿子
后来我女儿给我讲，现在刷脸支付技术已经很成熟了，只有本人才可以支付成功，光凭一张照片什么的是不行的。,"[3, 5]",女儿,儿子
后为躲避战匪，女儿藏于柜中。,"[7, 9]",女儿,儿子
还说，这是女儿的第一份稿费，要好好珍藏。,"[5, 7]",女儿,儿子
还要谢谢女儿的淡定从容，这使我压力更小，心态更放松。,"[4, 6]",女儿,儿子
还有一件事，我女儿初中的时候，因为不再去中文学校，我决定自己教。,"[7, 9]",女儿,儿子
还在消化那条停电信息的我，被女儿的话打岔后在脑海里转了不到一秒就同意了。,"[17, 19]",女儿,儿子
挥洒汗水，换来幸福生活两层小楼的房间打扫得干干净净，女儿的书本在桌上叠放得整整齐齐。,"[27, 29]",女儿,儿子
回家后，夫妻俩发现女儿的大便不正常，颜色很浅，类似于白陶土的颜色。,"[9, 11]",女儿,儿子
婚前财产公证不仅没成为女儿婚姻的绊脚石，反而成为保障婚姻稳定的基石。,"[17, 19]",女儿,儿子
或许受此影响，女儿从小就显示出对书籍的热爱与痴迷。,"[7, 9]",女儿,儿子
急急赶到接机大厅，刚站稳，就看见女儿挥动的手臂。,"[16, 18]",女儿,儿子
即便这样，我女儿依然我行我素，真是伤透了我的心，最终我赌气同意了。,"[6, 8]",女儿,儿子
即使是这样的繁忙日程，女儿穿着演出服还在舞台边复习迎考。,"[11, 13]",女儿,儿子
记得有年冬天，女儿双手捧着一个橄榄状的塑料盒子，一时贴贴脸颊，一时贴贴耳朵。,"[7, 9]",女儿,儿子
记忆中的女儿一直是个无论做什么事都要依靠我的小孩子。,"[4, 6]",女儿,儿子
家里的十几头牛是全部财产，有时偶尔带大女儿挖点虫草来维持生计。,"[19, 21]",女儿,儿子
家里越来越压抑的氛围，让父母为这个最小的女儿感到焦虑。,"[20, 22]",女儿,儿子
家乡有个风俗，农历六月六，出嫁的女儿都要回娘家，送上新蒸的馒头，还必须有一条用白面做的“鱼”。,"[16, 18]",女儿,儿子
家中还有上幼儿园的女儿，因为工作原因照顾不上。,"[9, 11]",女儿,儿子
见到真人的机会，还是女儿为了完成社会实践活动，在社区领了挨家挨户分发垃圾分类传单的任务才有的。,"[10, 12]",女儿,儿子
接下来，女儿还要攻读研究生，方向也和水有关。,"[4, 6]",女儿,儿子
结果没想到，这样的日子过了10天左右，女儿起伏不定的情绪平静了，没有了计划表的督促，反而每天自己看书、学习，时不时问问同学学校里的进度，自己有计划地把落下的内容补上。,"[19, 21]",女儿,儿子
今年4月，辖区高龄老人刘某，因赡养问题，与自己的三个女儿发生纠纷。,"[26, 28]",女儿,儿子
今年6月，女儿荣获“武汉市优秀学生”称号。,"[5, 7]",女儿,儿子
今年8月，靳大爷一家搬到大兴，听女儿说附近有个叫荟聚中心的商场很有名，人也特别多。,"[16, 18]",女儿,儿子
今年是我和女儿第二次一起参加黄马，能够一起携手完成赛事，拿一块我们都拥有的奖牌，这份喜悦非笔墨能够形容。,"[6, 8]",女儿,儿子
今年我女儿在网上帮我卖了数万元的蜂蜜，每罐蜂蜜一公斤卖价200多元。,"[4, 6]",女儿,儿子
今天放学回家的路上，女儿再一次提出了要买暖宝宝。,"[10, 12]",女儿,儿子
进入学校后，女儿被学校丰富多彩的社团活动所深深吸引，先后参加了舞蹈、京剧、琵琶、美术等多个社团。,"[6, 8]",女儿,儿子
近日，随着2019年“法考”主观题考试成绩揭晓，杨老师和读大四的女儿双双以超过分数线两位数的成绩过关。,"[32, 34]",女儿,儿子
经过依法、依理、依情的劝说后，刘某的三个女儿最终达成了赡养协议，轮流给老人打扫卫生、做菜做饭、洗澡洗衣。,"[20, 22]",女儿,儿子
警察赶到，发现女儿被打得皮开肉绽。,"[7, 9]",女儿,儿子
就在太阳快落山时，老工头的女儿突然纵身一跃跳进了熔炉。,"[13, 15]",女儿,儿子
就这样，病情没有得到控制，和女儿的关系也日益紧张。,"[14, 16]",女儿,儿子
据老二说，房产还没来得及交接，三女儿就把父母的骨灰盒当垃圾给丢了。,"[16, 18]",女儿,儿子
据了解，有时候对面这家人会拉上窗帘，女儿还会哭。,"[18, 20]",女儿,儿子
距离我俩上一次谈话已经两个月了，我女儿真就一直没回家，电话都不给我打一个，我应该怎么办呢？,"[17, 19]",女儿,儿子
觉得帮女儿梳头无从下手？,"[3, 5]",女儿,儿子
看见电影中狗狗最后弥留的时刻，我女儿也哭了。,"[16, 18]",女儿,儿子
看着脸红红完全变了个人似的女儿，我心想，看来是碰上同学了。,"[14, 16]",女儿,儿子
考研也是为女儿今后的职业发展做一个长远的规划，研究生学历的优势今后对评职称等都有利。,"[6, 8]",女儿,儿子
可是，慢慢地我发现，以前活泼开朗的女儿变得越来越冷漠，语言怪异、行为极端，对我的追问与质疑极为反感，学习成绩也迅速下降。,"[17, 19]",女儿,儿子
可是，我的心里一直感觉“欠”了女儿的书。,"[15, 17]",女儿,儿子
可是只要有一丝希望，我们都不会放弃，即便是砸锅卖铁也要筹钱给女儿治病。,"[30, 32]",女儿,儿子
可是自从有了手机，女儿的学习成绩越来越差，放假回来也不愿意到店里帮忙，经常玩手机到很晚，接打电话也总是躲着我，而且通话时间一次比一次长。,"[9, 11]",女儿,儿子
可新学期报到时，女儿却迟迟没有接到上学通知。,"[8, 10]",女儿,儿子
可又过了几天，还是不见猫窝的影子，女儿有点坐不住了，上网查看猫窝的运送状态。,"[17, 19]",女儿,儿子
来老师经常在微信朋友圈发有关两个女儿的内容。,"[17, 19]",女儿,儿子
老伴还把孩子领进水果店，女儿竟自然地伸出手，挎在老伴胳膊上，形同娘俩。,"[12, 14]",女儿,儿子
老两口体弱多病，唯一的女儿又在外务工，身边缺少关心与照顾。,"[11, 13]",女儿,儿子
老人的女儿在县城上班，两个月回来一趟。,"[3, 5]",女儿,儿子
老唐反过来，让女儿在微信朋友圈吆喝吆喝。,"[7, 9]",女儿,儿子
老爷子靠在女儿身边，连连点头表示认同，堆满皱纹的脸上满是笑容。,"[5, 7]",女儿,儿子
两个女儿今年21岁，不仅献血，还做了造血干细胞的取样，登记在中华骨髓库。,"[8, 10]",女儿,儿子
两个女儿也很争气，成绩优异。,"[2, 4]",女儿,儿子
两年后，两个女儿先后大学、中专毕业，找到了称心的工作。,"[6, 8]",女儿,儿子
另外，我和女儿还在果园里打工，一人一天130元。,"[5, 7]",女儿,儿子
令我遗憾的是，虽然家里到处都堆满了书，女儿却似乎对此熟视无睹。,"[19, 21]",女儿,儿子
没能陪伴女儿参加中考，我心存内疚，但作为一名人民警察，就必须要对工作高度负责，才能不辱使命。,"[5, 7]",女儿,儿子
没想到，听我这样反复地说，十岁的女儿竟也听进心里去了。,"[16, 18]",女儿,儿子
没想到，王大爷骑着自行车硬是把礼物给女儿送单位去了。,"[18, 20]",女儿,儿子
没想到爱好这东西“传染”得也挺快，女儿也迷恋上阅读春城晚报。,"[17, 19]",女儿,儿子
没有教育扶贫，我女儿哪能上北京大学呀？,"[9, 11]",女儿,儿子
没招了，我让女儿给售后打电话，这次打通了，我怀疑对方是把我和我老伴儿的电话都拉黑了。,"[7, 9]",女儿,儿子
